             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  4.05  4.06  4.05  4.04  4.06  4.05  4.05  4.04  4.03  4.05      |
 | 2  |        2.04        2.04                    2.02                  |
 | 3  |              1.38                                                |
 | 4  |                    1.05                    1.03                  |
 | 5  |                          0.88                                    |
 | 6  |                                0.82                          0.76|
 | 7  |                                      0.69                        |
 | 8  |                                            0.50                  |
 | 9  |                                                  0.61            |
 | 10 |                                                        0.58      |
 | 12 |                                                              0.58|
 +-----------------------------------------------------------------------+
