             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  4.04  4.04  4.04  4.05  4.05  4.04  4.04  4.05  4.03  4.05      |
 | 2  |        2.05        2.04                    2.05                  |
 | 3  |              1.37                                                |
 | 4  |                    1.04                    1.04                  |
 | 5  |                          0.88                                    |
 | 6  |                                0.76                          0.74|
 | 7  |                                      0.66                        |
 | 8  |                                            0.50                  |
 | 9  |                                                  0.60            |
 | 10 |                                                        0.57      |
 | 12 |                                                              0.59|
 +-----------------------------------------------------------------------+
