             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  4.05  4.04  4.05  4.03  4.04  4.04  4.04  4.06  4.05  4.04      |
 | 2  |        2.04        2.04                    2.04                  |
 | 3  |              1.37                                                |
 | 4  |                    1.04                    1.03                  |
 | 5  |                          0.88                                    |
 | 6  |                                0.79                          0.75|
 | 7  |                                      0.68                        |
 | 8  |                                            0.50                  |
 | 9  |                                                  0.59            |
 | 10 |                                                        0.58      |
 | 12 |                                                              0.59|
 +-----------------------------------------------------------------------+
