             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  4.05  4.04  4.04  4.04  4.02  4.03  4.02  4.04  4.04  4.04      |
 | 2  |        2.05        2.03                    2.04                  |
 | 3  |              1.34                                                |
 | 4  |                    1.04                    1.04                  |
 | 5  |                          0.87                                    |
 | 6  |                                0.74                          0.74|
 | 7  |                                      0.64                        |
 | 8  |                                            0.50                  |
 | 9  |                                                  0.58            |
 | 10 |                                                        0.57      |
 | 12 |                                                              0.58|
 +-----------------------------------------------------------------------+
