             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.02  3.00  3.03  2.53  3.01  3.03  3.02  1.27  3.02  3.02      |
 | 2  |        1.54        1.55                    1.55                  |
 | 3  |              1.06                                                |
 | 4  |                    2.52                    1.06                  |
 | 5  |                          1.04                                    |
 | 6  |                                1.06                          1.03|
 | 7  |                                      1.06                        |
 | 8  |                                            1.27                  |
 | 9  |                                                  1.03            |
 | 10 |                                                        1.04      |
 | 12 |                                                              1.04|
 +-----------------------------------------------------------------------+
