             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.34  1.04  1.03  0.42  1.05  1.04  1.03  0.30  1.05  1.04      |
 | 2  |        0.86        0.59                    0.40                  |
 | 3  |              0.76                                                |
 | 4  |                    0.42                    0.57                  |
 | 5  |                          0.72                                    |
 | 6  |                                0.59                          0.56|
 | 7  |                                      0.59                        |
 | 8  |                                            0.28                  |
 | 9  |                                                  0.57            |
 | 10 |                                                        0.56      |
 | 12 |                                                              0.55|
 +-----------------------------------------------------------------------+
