             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.03  3.03  3.02  3.03  3.04  3.03  3.03  3.04  3.03  3.04      |
 | 2  |        1.54        1.55                    1.55                  |
 | 3  |              1.02                                                |
 | 4  |                    1.07                    1.03                  |
 | 5  |                          1.06                                    |
 | 6  |                                1.07                          1.05|
 | 7  |                                      1.06                        |
 | 8  |                                            1.06                  |
 | 9  |                                                  1.05            |
 | 10 |                                                        1.05      |
 | 12 |                                                              1.04|
 +-----------------------------------------------------------------------+
