             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.30  1.04  1.02  0.43  1.03  1.05  1.06  0.27  1.04  1.05      |
 | 2  |        0.83        0.60                    0.58                  |
 | 3  |              0.75                                                |
 | 4  |                    0.52                    0.60                  |
 | 5  |                          0.75                                    |
 | 6  |                                0.60                          0.56|
 | 7  |                                      0.59                        |
 | 8  |                                            0.31                  |
 | 9  |                                                  0.59            |
 | 10 |                                                        0.59      |
 | 12 |                                                              0.57|
 +-----------------------------------------------------------------------+
